benchmark,numberOfVariables
SPOON-151_1,172
SPOON-151_1,98
SPOON-151_1,129
SPOON-151_1,350
SPOON-151_1,126
SPOON-151_1,457
SPOON-151_1,133
SPOON-151_1,327
SPOON-151_1,261
SPOON-151_1,203
SPOON-151_1,161
SPOON-151_1,466
SPOON-151_1,388
SPOON-151_1,538
FASTJSON-104_1,4
FASTJSON-104_1,5
FASTJSON-104_1,5
FASTJSON-104_1,41
FASTJSON-104_1,41
FASTJSON-104_1,4
FASTJSON-104_1,49
FASTJSON-104_1,41
FASTJSON-104_1,13
FASTJSON-104_1,5
FASTJSON-104_1,2
FASTJSON-104_1,0
FASTJSON-104_1,420
FASTJSON-104_1,13
FASTJSON-104_1,5
FASTJSON-104_1,39
FASTJSON-104_1,35
FASTJSON-104_1,0
FASTJSON-104_1,290
FASTJSON-104_1,9
FASTJSON-104_1,16
FASTJSON-104_1,239
FASTJSON-104_1,310
FASTJSON-104_1,12
FASTJSON-104_1,39
FASTJSON-104_1,41
FASTJSON-104_1,4
FASTJSON-104_1,48
FASTJSON-104_1,2
FASTJSON-104_1,42
FASTJSON-104_1,35
FASTJSON-104_1,49
FASTJSON-104_1,230
FASTJSON-104_1,234
FASTJSON-104_1,2
FASTJSON-104_1,2
FASTJSON-104_1,89
FASTJSON-104_1,327
FASTJSON-104_1,4
FASTJSON-104_1,7
FASTJSON-104_1,54
FASTJSON-104_1,8
FASTJSON-104_1,8
FASTJSON-104_1,4
FASTJSON-104_1,10
FASTJSON-104_1,15
FASTJSON-104_1,4
FASTJSON-104_1,2
FASTJSON-104_1,8
FASTJSON-104_1,48
FASTJSON-104_1,5
FASTJSON-104_1,47
FASTJSON-104_1,8
FASTJSON-104_1,64
FASTJSON-104_1,16
FASTJSON-104_1,41
FASTJSON-104_1,49
FASTJSON-104_1,2
FASTJSON-104_1,22
FASTJSON-104_1,91
FASTJSON-104_1,2
FASTJSON-104_1,49
FASTJSON-104_1,53
FASTJSON-104_1,528
FASTJSON-104_1,19
FASTJSON-104_1,6
FASTJSON-104_1,5
FASTJSON-104_1,13
FASTJSON-104_1,720
FASTJSON-104_1,5
FASTJSON-104_1,5
FASTJSON-104_1,22
FASTJSON-104_1,58
FASTJSON-104_1,54
FASTJSON-104_1,37
FASTJSON-104_1,5
FASTJSON-104_1,5
FASTJSON-104_1,4
FASTJSON-104_1,0
FASTJSON-104_1,7
FASTJSON-104_1,49
FASTJSON-104_1,4
FASTJSON-104_1,76
FASTJSON-104_1,7
FASTJSON-104_1,13
FASTJSON-104_1,5
FASTJSON-104_1,143
FASTJSON-104_1,12
FASTJSON-104_1,5
FASTJSON-104_1,5
FASTJSON-104_1,5
FASTJSON-104_1,13
FASTJSON-104_1,8
FASTJSON-104_1,46
FASTJSON-104_1,49
FASTJSON-104_1,12
FASTJSON-104_1,9
FASTJSON-104_1,13
FASTJSON-104_1,12
FASTJSON-104_1,91
FASTJSON-104_1,778
FASTJSON-104_1,526
FASTJSON-79_1,0
FASTJSON-79_1,48
FASTJSON-79_1,3
FASTJSON-79_1,83
FASTJSON-79_1,52
FASTJSON-79_1,52
FASTJSON-79_1,78
FASTJSON-79_1,74
FASTJSON-79_1,0
FASTJSON-79_1,0
FASTJSON-79_1,40
FASTJSON-79_1,43
FASTJSON-79_1,0
FASTJSON-79_1,0
FASTJSON-79_1,40
FASTJSON-79_1,40
FASTJSON-79_1,41
FASTJSON-79_1,65
FASTJSON-79_1,71
FASTJSON-79_1,7
FASTJSON-79_1,0
FASTJSON-79_1,72
FASTJSON-79_1,75
FASTJSON-79_1,43
FASTJSON-79_1,72
FASTJSON-79_1,72
FASTJSON-79_1,48
FASTJSON-79_1,53
FASTJSON-79_1,71
FASTJSON-79_1,41
FASTJSON-79_1,75
FASTJSON-79_1,84
FASTJSON-79_1,4
FASTJSON-79_1,48
FASTJSON-79_1,0
FASTJSON-79_1,46
FASTJSON-79_1,52
FASTJSON-79_1,0
FASTJSON-79_1,22
FASTJSON-79_1,0
FASTJSON-79_1,98
FASTJSON-79_1,83
FASTJSON-79_1,46
FASTJSON-79_1,61
FASTJSON-79_1,53
FASTJSON-79_1,0
FASTJSON-79_1,43
FASTJSON-79_1,46
FASTJSON-79_1,41
FASTJSON-79_1,0
FASTJSON-79_1,83
FASTJSON-79_1,40
FASTJSON-79_1,75
FASTJSON-79_1,84
FASTJSON-79_1,78
FASTJSON-79_1,22
FASTJSON-79_1,41
FASTJSON-79_1,78
FASTJSON-79_1,0
FASTJSON-79_1,61
FASTJSON-79_1,53
FASTJSON-79_1,72
FASTJSON-79_1,74
FASTJSON-79_1,0
FASTJSON-79_1,0
FASTJSON-79_1,84
FASTJSON-79_1,0
FASTJSON-79_1,0
FASTJSON-79_1,0
FASTJSON-79_1,98
FASTJSON-79_1,22
FASTJSON-79_1,52
FASTJSON-79_1,75
FASTJSON-79_1,72
FASTJSON-79_1,48
FASTJSON-79_1,0
FASTJSON-79_1,46
FASTJSON-79_1,74
FASTJSON-79_1,43
FASTJSON-79_1,53
FASTJSON-79_1,83
FASTJSON-79_1,75
FASTJSON-79_1,74
FASTJSON-79_1,98
FASTJSON-79_1,65
FASTJSON-79_1,53
FASTJSON-79_1,98
FASTJSON-79_1,46
FASTJSON-79_1,22
FASTJSON-79_1,83
FASTJSON-79_1,40
FASTJSON-79_1,65
FASTJSON-79_1,22
FASTJSON-79_1,41
FASTJSON-79_1,71
FASTJSON-79_1,71
FASTJSON-79_1,61
FASTJSON-79_1,78
FASTJSON-79_1,61
FASTJSON-79_1,84
FASTJSON-79_1,43
FASTJSON-79_1,0
FASTJSON-79_1,65
FASTJSON-79_1,48
FASTJSON-79_1,84
FASTJSON-79_1,65
FASTJSON-79_1,0
FASTJSON-79_1,71
FASTJSON-79_1,61
FASTJSON-79_1,74
FASTJSON-79_1,52
FASTJSON-79_1,78
FASTJSON-79_1,98
FASTJSON-49_1,45
FASTJSON-49_1,43
FASTJSON-49_1,28
FASTJSON-49_1,48
FASTJSON-49_1,60
FASTJSON-49_1,8
FASTJSON-49_1,21
FASTJSON-49_1,43
FASTJSON-49_1,239
FASTJSON-49_1,264
FASTJSON-49_1,206
FASTJSON-49_1,9
FASTJSON-49_1,320
FASTJSON-49_1,202
FASTJSON-49_1,18
FASTJSON-49_1,51
FASTJSON-49_1,40
FASTJSON-49_1,40
FASTJSON-49_1,210
FASTJSON-49_1,265
FASTJSON-49_1,35
FASTJSON-49_1,31
FASTJSON-49_1,40
FASTJSON-49_1,39
FASTJSON-49_1,197
FASTJSON-49_1,49
FASTJSON-49_1,313
FASTJSON-49_1,290
FASTJSON-49_1,281
FASTJSON-49_1,22
FASTJSON-49_1,221
FASTJSON-49_1,209
FASTJSON-49_1,213
FASTJSON-49_1,314
FASTJSON-49_1,217
FASTJSON-49_1,223
FASTJSON-49_1,5911
FASTJSON-49_1,15472
FASTJSON-49_1,19519
FASTJSON-49_1,20033
GUAVA-174_1,226
GUAVA-174_1,118
GUAVA-174_1,9
GUAVA-174_1,145
GUAVA-174_1,13
GUAVA-174_1,154
GUAVA-174_1,95
GUAVA-174_1,28
GUAVA-174_1,313
GUAVA-174_1,4
GUAVA-174_1,7
GUAVA-174_1,82
GUAVA-174_1,139
GUAVA-174_1,12
GUAVA-174_1,166
GUAVA-174_1,33
GUAVA-174_1,8
GUAVA-174_1,23
GUAVA-174_1,68
GUAVA-174_1,139
GUAVA-174_1,858
GUAVA-174_1,11
GUAVA-174_1,58
GUAVA-174_1,427
GUAVA-174_1,36
GUAVA-174_1,93
GUAVA-174_1,38
GUAVA-174_1,132
GUAVA-174_1,11
GUAVA-174_1,184
GUAVA-174_1,158
GUAVA-174_1,287
GUAVA-174_1,14
GUAVA-174_1,79
GUAVA-174_1,94
GUAVA-174_1,55
GUAVA-174_1,11
GUAVA-174_1,8
GUAVA-174_1,58
GUAVA-174_1,12
GUAVA-174_1,13
GUAVA-174_1,235
GUAVA-174_1,4
GUAVA-174_1,78
GUAVA-174_1,46
GUAVA-174_1,236
GUAVA-174_1,1086
GUAVA-174_1,7
GUAVA-174_1,118
GUAVA-174_1,7
GUAVA-174_1,7
GUAVA-174_1,52
GUAVA-174_1,116
GUAVA-174_1,346
GUAVA-174_1,1795
GUAVA-174_1,178
GUAVA-174_1,139
GUAVA-174_1,640
GUAVA-174_1,241
GUAVA-174_1,10
GUAVA-174_1,308
GUAVA-174_1,208
GUAVA-174_1,43
GUAVA-174_1,334
GUAVA-174_1,85
GUAVA-174_1,23
GUAVA-174_1,21
GUAVA-174_1,118
GUAVA-174_1,86
GUAVA-174_1,39
GUAVA-174_1,32
GUAVA-174_1,4
GUAVA-174_1,30
GUAVA-174_1,258
GUAVA-174_1,5
GUAVA-174_1,18
GUAVA-174_1,16
GUAVA-174_1,12
GUAVA-174_1,69
GUAVA-174_1,28
GUAVA-174_1,17
GUAVA-174_1,44
GUAVA-174_1,700
GUAVA-174_1,73
GUAVA-174_1,7
GUAVA-174_1,4239
GUAVA-174_1,48
GUAVA-174_1,76
GUAVA-174_1,12
GUAVA-174_1,24
GUAVA-174_1,271
GUAVA-174_1,5
GUAVA-174_1,103
GUAVA-174_1,248
GUAVA-174_1,8
GUAVA-174_1,139
GUAVA-174_1,9
GUAVA-174_1,578
GUAVA-174_1,28
GUAVA-174_1,123
GUAVA-174_1,28
GUAVA-174_1,35
GUAVA-174_1,12
GUAVA-174_1,265
GUAVA-174_1,124
GUAVA-174_1,7
GUAVA-174_1,7
GUAVA-174_1,56
GUAVA-174_1,28
GUAVA-174_1,12
GUAVA-174_1,42
GUAVA-174_1,4173
GUAVA-174_1,4
GUAVA-174_1,2472
GUAVA-174_1,322
GUAVA-174_1,217
GUAVA-174_1,55
GUAVA-174_1,97
GUAVA-174_1,16
GUAVA-174_1,51
GUAVA-174_1,17
GUAVA-174_1,23
GUAVA-174_1,68
GUAVA-174_1,1887
GUAVA-174_1,4698
GUAVA-174_1,92
GUAVA-174_1,12
GUAVA-174_1,109
GUAVA-174_1,46
GUAVA-174_1,27
GUAVA-174_1,82
GUAVA-174_1,26
GUAVA-174_1,75
GUAVA-174_1,148
GUAVA-174_1,218
GUAVA-174_1,22
GUAVA-174_1,278
GUAVA-174_1,70
GUAVA-174_1,28
GUAVA-174_1,112
GUAVA-174_1,12
GUAVA-174_1,29
GUAVA-174_1,75
GUAVA-174_1,76
GUAVA-174_1,79
GUAVA-174_1,28
GUAVA-174_1,7
GUAVA-174_1,22
GUAVA-174_1,58
GUAVA-174_1,9
GUAVA-174_1,108
GUAVA-174_1,4446
GUAVA-174_1,13
GUAVA-174_1,82
GUAVA-174_1,4
GUAVA-174_1,164
GUAVA-174_1,4
GUAVA-174_1,130
GUAVA-174_1,140
GUAVA-174_1,4
GUAVA-174_1,100
GUAVA-174_1,138
GUAVA-174_1,151
GUAVA-174_1,3270
GUAVA-174_1,30
GUAVA-174_1,15
GUAVA-174_1,132
GUAVA-174_1,238
GUAVA-174_1,989
GUAVA-174_1,29
GUAVA-174_1,38
GUAVA-174_1,7
GUAVA-174_1,49
GUAVA-174_1,142
GUAVA-174_1,139
GUAVA-174_1,7
GUAVA-174_1,8
GUAVA-174_1,229
GUAVA-174_1,11
GUAVA-174_1,52
GUAVA-174_1,69
GUAVA-174_1,10
GUAVA-174_1,62
GUAVA-174_1,162
GUAVA-174_1,142
GUAVA-174_1,5
GUAVA-174_1,15
GUAVA-174_1,4407
GUAVA-174_1,48
GUAVA-174_1,34
GUAVA-174_1,7
GUAVA-174_1,18
GUAVA-174_1,19
GUAVA-174_1,88
GUAVA-174_1,277
GUAVA-174_1,5160
GUAVA-174_1,98
GUAVA-174_1,128
GUAVA-174_1,169
GUAVA-174_1,52
GUAVA-174_1,203
GUAVA-174_1,319
GUAVA-174_1,138
GUAVA-174_1,15
GUAVA-174_1,134
GUAVA-174_1,43
GUAVA-174_1,260
GUAVA-174_1,43
GUAVA-174_1,370
GUAVA-174_1,90
GUAVA-174_1,49
GUAVA-174_1,7
GUAVA-174_1,8
GUAVA-174_1,35
GUAVA-174_1,48
GUAVA-174_1,11
GUAVA-174_1,18
GUAVA-174_1,121
GUAVA-174_1,34
GUAVA-174_1,182
GUAVA-174_1,97
GUAVA-174_1,25
GUAVA-174_1,38
GUAVA-174_1,27
GUAVA-174_1,274
GUAVA-174_1,165
GUAVA-174_1,121
GUAVA-174_1,361
GUAVA-174_1,10
GUAVA-174_1,18
GUAVA-174_1,20
GUAVA-174_1,106
GUAVA-174_1,55
GUAVA-174_1,93
GUAVA-174_1,11
GUAVA-174_1,178
GUAVA-174_1,7
GUAVA-174_1,114
GUAVA-174_1,49
GUAVA-174_1,122
GUAVA-174_1,52
GUAVA-174_1,17
GUAVA-174_1,26
GUAVA-174_1,718
GUAVA-174_1,2934
GUAVA-174_1,1692
GUAVA-174_1,5118
GUAVA-174_1,5388
GUAVA-249_1,5
GUAVA-249_1,19
GUAVA-249_1,5
GUAVA-249_1,5
GUAVA-249_1,29
GUAVA-249_1,12
GUAVA-249_1,8
GUAVA-249_1,28
GUAVA-249_1,8
GUAVA-249_1,5
GUAVA-249_1,17
GUAVA-249_1,17
GUAVA-249_1,12
GUAVA-249_1,5
GUAVA-249_1,29
GUAVA-249_1,5
GUAVA-249_1,14
GUAVA-249_1,20
GUAVA-249_1,22
GUAVA-249_1,32
GUAVA-249_1,8
GUAVA-249_1,9
GUAVA-249_1,0
GUAVA-249_1,8
GUAVA-249_1,12
GUAVA-249_1,14
GUAVA-249_1,8
GUAVA-249_1,23
GUAVA-249_1,23
GUAVA-249_1,5
GUAVA-249_1,5
GUAVA-249_1,25
GUAVA-249_1,5
GUAVA-249_1,8
GUAVA-249_1,5
GUAVA-249_1,8
GUAVA-249_1,14
GUAVA-249_1,12
GUAVA-249_1,19
GUAVA-249_1,20
GUAVA-249_1,8
GUAVA-249_1,8
GUAVA-249_1,22
GUAVA-249_1,8
GUAVA-249_1,8
GUAVA-249_1,14
GUAVA-249_1,26
GUAVA-249_1,11
GUAVA-249_1,17
GUAVA-249_1,8
GUAVA-249_1,16
GUAVA-249_1,5
GUAVA-249_1,22
GUAVA-249_1,8
GUAVA-249_1,9
GUAVA-249_1,6457
GUAVA-249_1,9661
GUAVA-78_1,4
GUAVA-78_1,72
GUAVA-78_1,38
GUAVA-78_1,30
GUAVA-78_1,57
GUAVA-78_1,78
GUAVA-78_1,4
GUAVA-78_1,57
GUAVA-78_1,66
GUAVA-78_1,103
GUAVA-78_1,66
GUAVA-78_1,30
GUAVA-78_1,38
GUAVA-78_1,27
GUAVA-78_1,38
GUAVA-78_1,22
GUAVA-78_1,81
GUAVA-78_1,82
GUAVA-78_1,63
GUAVA-78_1,7
GUAVA-78_1,77
GUAVA-78_1,6
GUAVA-78_1,63
GUAVA-78_1,23
GUAVA-78_1,38
GUAVA-78_1,77
GUAVA-78_1,71
GUAVA-78_1,57
GUAVA-78_1,81
GUAVA-78_1,0
GUAVA-78_1,57
GUAVA-78_1,30
GUAVA-78_1,23
GUAVA-78_1,42
GUAVA-78_1,63
GUAVA-78_1,71
GUAVA-78_1,4
GUAVA-78_1,105
GUAVA-78_1,72
GUAVA-78_1,41
GUAVA-78_1,30
GUAVA-78_1,4
GUAVA-78_1,63
GUAVA-78_1,93
GUAVA-78_1,105
GUAVA-78_1,71
GUAVA-78_1,83
GUAVA-78_1,74
GUAVA-78_1,108
GUAVA-78_1,0
GUAVA-78_1,75
GUAVA-78_1,86
GUAVA-78_1,20
GUAVA-78_1,100
GUAVA-78_1,23
GUAVA-78_1,159
GUAVA-78_1,71
GUAVA-78_1,31
GUAVA-78_1,23
GUAVA-78_1,19
GUAVA-78_1,57
GUAVA-78_1,5
GUAVA-78_1,55
GUAVA-78_1,105
GUAVA-78_1,30
GUAVA-78_1,63
GUAVA-78_1,33
GUAVA-78_1,31
GUAVA-78_1,75
GUAVA-78_1,66
GUAVA-78_1,143
GUAVA-78_1,57
GUAVA-78_1,4
GUAVA-78_1,38
GUAVA-78_1,100
GUAVA-78_1,126
GUAVA-78_1,4
GUAVA-78_1,66
GUAVA-78_1,63
GUAVA-78_1,117
GUAVA-78_1,57
GUAVA-78_1,63
GUAVA-78_1,30
GUAVA-78_1,35
GUAVA-78_1,57
GUAVA-78_1,132
GUAVA-78_1,57
GUAVA-78_1,66
GUAVA-78_1,337
GUAVA-78_1,38
GUAVA-78_1,57
GUAVA-78_1,70
GUAVA-78_1,77
GUAVA-78_1,70
GUAVA-78_1,26
GUAVA-78_1,160
GUAVA-78_1,30
GUAVA-78_1,4
GUAVA-78_1,27
GUAVA-78_1,29
GUAVA-78_1,6
GUAVA-78_1,91
GUAVA-78_1,6
GUAVA-78_1,337
GUAVA-78_1,132
GUAVA-78_1,117
GUAVA-78_1,57
GUAVA-78_1,101
GUAVA-78_1,92
GUAVA-78_1,66
GUAVA-78_1,23
GUAVA-78_1,195
GUAVA-78_1,132
GUAVA-78_1,151
GUAVA-78_1,63
GUAVA-78_1,33
GUAVA-78_1,152
GUAVA-78_1,39
GUAVA-78_1,113
GUAVA-78_1,28
GUAVA-78_1,71
GUAVA-78_1,6
GUAVA-78_1,117
GUAVA-78_1,31
GUAVA-78_1,415
GUAVA-78_1,165
GUAVA-78_1,38
GUAVA-78_1,30
GUAVA-78_1,63
GUAVA-78_1,31
GUAVA-78_1,35
GUAVA-78_1,390
GUAVA-78_1,117
GUAVA-78_1,23
GUAVA-78_1,38
GUAVA-78_1,6
GUAVA-78_1,6
GUAVA-78_1,72
GUAVA-78_1,3
GUAVA-78_1,21
GUAVA-78_1,117
GUAVA-78_1,3
GUAVA-78_1,108
GUAVA-78_1,104
GUAVA-78_1,70
GUAVA-78_1,31
GUAVA-78_1,94
GUAVA-78_1,113
GUAVA-78_1,63
GUAVA-78_1,42
GUAVA-78_1,109
GUAVA-78_1,82
GUAVA-78_1,66
GUAVA-78_1,81
GUAVA-78_1,41
GUAVA-78_1,104
GUAVA-78_1,66
GUAVA-78_1,24
GUAVA-78_1,38
GUAVA-78_1,57
GUAVA-78_1,30
GUAVA-78_1,30
GUAVA-78_1,38
GUAVA-78_1,20
GUAVA-78_1,165
GUAVA-78_1,71
GUAVA-78_1,87
GUAVA-78_1,102
GUAVA-78_1,392
GUAVA-260_1,45
GUAVA-260_1,47
GUAVA-260_1,69
GUAVA-260_1,49
GUAVA-260_1,112
GUAVA-260_1,39
GUAVA-260_1,28
GUAVA-260_1,84
GUAVA-260_1,21
GUAVA-260_1,89
GUAVA-260_1,39
GUAVA-260_1,19
GUAVA-260_1,9
GUAVA-260_1,33
GUAVA-260_1,22
GUAVA-260_1,23
GUAVA-260_1,14
GUAVA-260_1,35
GUAVA-260_1,59
GUAVA-260_1,77
GUAVA-260_1,21
GUAVA-260_1,15
GUAVA-260_1,28
GUAVA-260_1,47
GUAVA-260_1,65
GUAVA-260_1,28
GUAVA-260_1,34
GUAVA-260_1,34
GUAVA-260_1,30
GUAVA-260_1,35
GUAVA-260_1,80
GUAVA-260_1,71
GUAVA-260_1,19
GUAVA-260_1,16
GUAVA-260_1,4
GUAVA-260_1,43
GUAVA-260_1,51
GUAVA-260_1,40
GUAVA-260_1,19
GUAVA-260_1,28
GUAVA-260_1,34
GUAVA-260_1,23
GUAVA-260_1,7
GUAVA-260_1,27
GUAVA-260_1,60
GUAVA-260_1,10
GUAVA-260_1,42
GUAVA-260_1,21
GUAVA-260_1,20
GUAVA-260_1,43
GUAVA-260_1,22
GUAVA-260_1,9
GUAVA-260_1,39
GUAVA-260_1,4
GUAVA-260_1,59
GUAVA-260_1,8
GUAVA-260_1,68
GUAVA-260_1,66
GUAVA-260_1,9
GUAVA-260_1,17
GUAVA-260_1,7
GUAVA-260_1,25
GUAVA-260_1,33
GUAVA-260_1,31
GUAVA-260_1,9
GUAVA-260_1,11
GUAVA-260_1,48
GUAVA-260_1,4
GUAVA-260_1,35
GUAVA-260_1,78
GUAVA-260_1,47
GUAVA-260_1,35
GUAVA-260_1,53
GUAVA-260_1,30
GUAVA-260_1,60
GUAVA-260_1,49
GUAVA-260_1,59
GUAVA-260_1,8
GUAVA-260_1,21
GUAVA-260_1,41
GUAVA-260_1,67
GUAVA-260_1,34
GUAVA-260_1,34
GUAVA-260_1,65
GUAVA-260_1,31
GUAVA-260_1,9
GUAVA-260_1,61
GUAVA-260_1,52
GUAVA-260_1,39
GUAVA-260_1,26
GUAVA-260_1,21
GUAVA-260_1,44
GUAVA-260_1,45
GUAVA-260_1,41
GUAVA-260_1,20
GUAVA-260_1,38
GUAVA-260_1,46
GUAVA-260_1,42
GUAVA-260_1,17
GUAVA-260_1,72
GUAVA-260_1,33
GUAVA-260_1,27
GUAVA-260_1,51
GUAVA-260_1,19
GUAVA-260_1,53
GUAVA-260_1,34
GUAVA-260_1,39
GUAVA-260_1,61
GUAVA-260_1,12
GUAVA-260_1,23
GUAVA-260_1,57
GUAVA-260_1,72
GUAVA-260_1,21
GUAVA-260_1,100
GUAVA-260_1,15
GUAVA-260_1,7
GUAVA-260_1,8
GUAVA-260_1,22
GUAVA-260_1,39
GUAVA-260_1,57
GUAVA-260_1,17
GUAVA-260_1,30
GUAVA-260_1,27
GUAVA-260_1,40
GUAVA-260_1,35
GUAVA-260_1,23
GUAVA-260_1,40
GUAVA-260_1,59
GUAVA-260_1,26
GUAVA-260_1,39
GUAVA-260_1,75
GUAVA-260_1,56
GUAVA-260_1,95
GUAVA-260_1,11
GUAVA-260_1,72
GUAVA-260_1,57
GUAVA-260_1,74
GUAVA-260_1,59
GUAVA-260_1,35
GUAVA-260_1,26
GUAVA-260_1,94
GUAVA-260_1,39
GUAVA-260_1,71
GUAVA-260_1,65
GUAVA-260_1,35
GUAVA-260_1,25
GUAVA-260_1,43
GUAVA-260_1,19
GUAVA-260_1,36
GUAVA-260_1,22
GUAVA-260_1,11
GUAVA-260_1,32
GUAVA-260_1,100
GUAVA-260_1,9
GUAVA-260_1,80
GUAVA-260_1,27
GUAVA-260_1,30
GUAVA-260_1,15
GUAVA-260_1,9
GUAVA-260_1,22
GUAVA-260_1,20
GUAVA-260_1,37
GUAVA-260_1,57
GUAVA-260_1,31
GUAVA-260_1,15
GUAVA-260_1,50
GUAVA-260_1,43
GUAVA-260_1,23
GUAVA-260_1,67
GUAVA-260_1,43
GUAVA-260_1,56
GUAVA-260_1,71
GUAVA-260_1,39
GUAVA-260_1,50
GUAVA-260_1,17
GUAVA-260_1,55
GUAVA-260_1,8
GUAVA-260_1,83
GUAVA-260_1,3502
GUAVA-260_1,47
GUAVA-260_1,38
GUAVA-260_1,78
GUAVA-260_1,14
GUAVA-260_1,31
GUAVA-260_1,47
GUAVA-260_1,100
GUAVA-260_1,4
GUAVA-260_1,29
GUAVA-260_1,46
GUAVA-260_1,46
GUAVA-260_1,47
GUAVA-260_1,53
GUAVA-260_1,80
GUAVA-260_1,10
GUAVA-260_1,26
GUAVA-260_1,41
GUAVA-260_1,62
GUAVA-260_1,28
GUAVA-260_1,7
GUAVA-260_1,33
GUAVA-260_1,46
GUAVA-260_1,44
GUAVA-260_1,29
GUAVA-260_1,52
GUAVA-260_1,3
GUAVA-260_1,59
GUAVA-260_1,83
GUAVA-260_1,88
GUAVA-260_1,90
GUAVA-260_1,40
GUAVA-260_1,65
GUAVA-260_1,11
GUAVA-260_1,4
GUAVA-260_1,17
GUAVA-260_1,19
GUAVA-260_1,4
GUAVA-260_1,106
GUAVA-260_1,72
GUAVA-260_1,100
GUAVA-260_1,36
GUAVA-260_1,69
GUAVA-260_1,33
GUAVA-260_1,52
GUAVA-260_1,75
GUAVA-260_1,27
GUAVA-260_1,28
GUAVA-260_1,63
GUAVA-260_1,23
GUAVA-260_1,35
GUAVA-260_1,8
GUAVA-260_1,23
GUAVA-260_1,29
GUAVA-260_1,74
GUAVA-260_1,74
GUAVA-260_1,75
GUAVA-260_1,45
GUAVA-260_1,53
GUAVA-260_1,55
GUAVA-260_1,40
GUAVA-260_1,23
GUAVA-260_1,21
GUAVA-260_1,41
GUAVA-260_1,89
GUAVA-260_1,9
GUAVA-260_1,36
GUAVA-260_1,35
GUAVA-260_1,47
GUAVA-260_1,52
GUAVA-260_1,15
GUAVA-260_1,15
GUAVA-260_1,22
GUAVA-260_1,17
GUAVA-260_1,45
GUAVA-260_1,46
GUAVA-260_1,55
GUAVA-260_1,27
GUAVA-260_1,68
GUAVA-260_1,12
GUAVA-260_1,49
GUAVA-260_1,65
GUAVA-260_1,80
GUAVA-260_1,23
GUAVA-260_1,19
GUAVA-260_1,57
GUAVA-260_1,55
GUAVA-260_1,59
GUAVA-260_1,56
GUAVA-260_1,72
GUAVA-260_1,106
GUAVA-260_1,27
GUAVA-260_1,59
GUAVA-260_1,8
GUAVA-260_1,29
GUAVA-260_1,45
GUAVA-260_1,16
GUAVA-260_1,9
GUAVA-260_1,9
GUAVA-260_1,27
GUAVA-260_1,23
GUAVA-260_1,18
GUAVA-260_1,40
GUAVA-260_1,17
GUAVA-260_1,41
GUAVA-260_1,72
GUAVA-260_1,24
GUAVA-260_1,39
GUAVA-260_1,35
GUAVA-260_1,77
GUAVA-260_1,21
GUAVA-260_1,36
GUAVA-260_1,72
GUAVA-260_1,116
GUAVA-260_1,59
GUAVA-260_1,12
GUAVA-260_1,43
GUAVA-260_1,81
GUAVA-260_1,37
GUAVA-260_1,28
GUAVA-260_1,81
GUAVA-260_1,47
GUAVA-260_1,80
GUAVA-260_1,72
GUAVA-260_1,49
GUAVA-260_1,74
GUAVA-260_1,9
GUAVA-260_1,45
GUAVA-260_1,22
GUAVA-260_1,35
GUAVA-260_1,4
GUAVA-260_1,1057
GUAVA-260_1,34
GUAVA-260_1,31
GUAVA-260_1,46
GUAVA-260_1,65
GUAVA-260_1,22
GUAVA-260_1,39
GUAVA-260_1,24
GUAVA-260_1,75
GUAVA-260_1,41
GUAVA-260_1,15
GUAVA-260_1,47
GUAVA-260_1,68
GUAVA-260_1,116
GUAVA-260_1,19
GUAVA-260_1,41
GUAVA-260_1,55
GUAVA-260_1,41
GUAVA-260_1,56
GUAVA-260_1,80
GUAVA-260_1,17
GUAVA-260_1,63
GUAVA-260_1,63
GUAVA-260_1,33
GUAVA-260_1,39
GUAVA-260_1,39
GUAVA-260_1,68
GUAVA-260_1,71
GUAVA-260_1,16
GUAVA-260_1,28
GUAVA-260_1,22
GUAVA-260_1,52
GUAVA-260_1,33
GUAVA-260_1,28
GUAVA-260_1,40
GUAVA-260_1,23
GUAVA-260_1,25
GUAVA-260_1,23
GUAVA-260_1,42
GUAVA-260_1,12
GUAVA-260_1,65
GUAVA-260_1,53
GUAVA-260_1,31
GUAVA-260_1,73
GUAVA-260_1,29
GUAVA-260_1,52
GUAVA-260_1,24
GUAVA-260_1,22
GUAVA-260_1,23
GUAVA-260_1,21
GUAVA-260_1,18
GUAVA-260_1,22
GUAVA-260_1,20
GUAVA-260_1,47
GUAVA-260_1,43
GUAVA-260_1,16
GUAVA-260_1,17
GUAVA-260_1,39
GUAVA-260_1,34
GUAVA-260_1,29
GUAVA-260_1,19
GUAVA-260_1,24
GUAVA-260_1,29
GUAVA-260_1,29
GUAVA-260_1,54
GUAVA-260_1,26
GUAVA-260_1,31
GUAVA-260_1,31
GUAVA-260_1,45
GUAVA-260_1,29
GUAVA-260_1,29
GUAVA-260_1,23
GUAVA-260_1,6530
GUAVA-260_1,4
GUAVA-260_1,42
GUAVA-260_1,51
GUAVA-260_1,29
GUAVA-260_1,38
GUAVA-260_1,8
GUAVA-260_1,29
GUAVA-260_1,21
GUAVA-260_1,39
GUAVA-260_1,47
GUAVA-260_1,24
GUAVA-260_1,29
GUAVA-260_1,45
GUAVA-260_1,68
GUAVA-260_1,41
GUAVA-260_1,32
GUAVA-260_1,59
GUAVA-260_1,4
