benchmark,file,result,numberOfVariables,reps,numberOfClauses,height,ucNumberOfVariables,ucReps,ucNumberOfClauses,ucHeight
FASTJSON-4_1,smt-70,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-4_1,smt-7,SAT,14,24,30,9,0,0,0,0
FASTJSON-4_1,smt-54,UNSAT,162,491,467,35,3,2,4,3
FASTJSON-4_1,smt-50,SAT,21,33,46,9,0,0,0,0
FASTJSON-4_1,smt-28,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-4_1,smt-99,SAT,33,25,77,9,0,0,0,0
FASTJSON-4_1,smt-119,UNSAT,35,33,78,9,5,3,6,4
FASTJSON-4_1,smt-61,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-4_1,smt-72,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-4_1,smt-73,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-4_1,smt-75,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-4_1,smt-74,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-4_1,smt-137,UNSAT,45,32,108,9,5,3,6,4
FASTJSON-4_1,smt-76,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-4_1,smt-45,UNSAT,47,33,110,9,6,4,8,4
FASTJSON-4_1,smt-77,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-4_1,smt-78,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-4_1,smt-79,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-4_1,smt-81,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-4_1,smt-8,UNSAT,10,36,30,9,4,2,5,4
FASTJSON-4_1,smt-71,UNSAT,97,147,322,49,3,3,5,4
FASTJSON-4_1,smt-68,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-4_1,smt-64,UNSAT,100,147,326,49,3,3,5,4
FASTJSON-4_1,smt-80,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-4_1,smt-63,SAT,45,31,103,9,0,0,0,0
FASTJSON-4_1,smt-83,UNSAT,54,156,152,18,3,2,4,3
FASTJSON-4_1,smt-82,UNSAT,45,32,108,9,5,3,6,4
FASTJSON-4_1,smt-91,SAT,50,34,140,9,0,0,0,0
FASTJSON-4_1,smt-86,UNSAT,67,218,191,18,4,2,5,3
FASTJSON-4_1,smt-85,UNSAT,54,156,152,18,3,2,4,3
FASTJSON-4_1,smt-84,UNSAT,61,97,164,9,8,2,6,4
FASTJSON-4_1,smt-109,SAT,56,45,151,9,0,0,0,0
FASTJSON-4_1,smt-6,SAT,199,1455,820,39,0,0,0,0
FASTJSON-50_1,smt-104,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-106,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-102,SAT,10,28,23,13,0,0,0,0
FASTJSON-50_1,smt-10,SAT,14,37,34,13,0,0,0,0
FASTJSON-50_1,smt-108,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-110,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-113,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-114,SAT,4,12,13,8,0,0,0,0
FASTJSON-50_1,smt-115,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-1,SAT,11,29,30,9,0,0,0,0
FASTJSON-50_1,smt-230,UNSAT,50,123,186,49,3,3,5,4
FASTJSON-50_1,smt-100,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-232,SAT,24,73,60,13,0,0,0,0
FASTJSON-50_1,smt-101,SAT,6,19,16,9,0,0,0,0
FASTJSON-50_1,smt-233,SAT,24,102,78,13,0,0,0,0
FASTJSON-50_1,smt-107,UNSAT,234,2470,717,35,10,3,9,3
FASTJSON-50_1,smt-105,SAT,49,175,142,13,0,0,0,0
FASTJSON-50_1,smt-235,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-238,UNSAT,167,874,648,50,4,2,5,4
FASTJSON-50_1,smt-237,UNSAT,249,1242,880,50,4,2,5,4
FASTJSON-50_1,smt-243,UNSAT,252,1242,884,50,8,3,9,4
FASTJSON-50_1,smt-240,SAT,29,46,58,9,0,0,0,0
FASTJSON-50_1,smt-111,SAT,151,874,621,34,0,0,0,0
FASTJSON-50_1,smt-245,SAT,13,26,31,9,0,0,0,0
FASTJSON-50_1,smt-241,SAT,27,102,73,14,0,0,0,0
FASTJSON-50_1,smt-24,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-11,SAT,128,417,332,13,0,0,0,0
FASTJSON-50_1,smt-247,SAT,46,35,119,9,0,0,0,0
FASTJSON-50_1,smt-254,SAT,24,75,61,13,0,0,0,0
FASTJSON-50_1,smt-250,SAT,26,28,80,9,0,0,0,0
FASTJSON-50_1,smt-255,SAT,46,131,121,35,0,0,0,0
FASTJSON-50_1,smt-109,SAT,97,302,252,13,0,0,0,0
FASTJSON-50_1,smt-257,SAT,13,28,32,9,0,0,0,0
FASTJSON-50_1,smt-259,SAT,5,21,16,9,0,0,0,0
FASTJSON-50_1,smt-234,UNSAT,246,1242,872,50,8,3,9,4
FASTJSON-50_1,smt-231,UNSAT,287,1523,994,51,4,2,5,4
FASTJSON-50_1,smt-244,SAT,40,132,113,35,0,0,0,0
FASTJSON-50_1,smt-26,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-242,SAT,218,874,749,34,0,0,0,0
FASTJSON-50_1,smt-103,SAT,151,874,621,34,0,0,0,0
FASTJSON-50_1,smt-249,UNSAT,251,1242,881,50,8,4,11,4
FASTJSON-50_1,smt-265,SAT,24,26,54,9,0,0,0,0
FASTJSON-50_1,smt-236,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-112,SAT,31,82,76,13,0,0,0,0
FASTJSON-50_1,smt-260,SAT,165,874,642,34,0,0,0,0
FASTJSON-50_1,smt-25,SAT,120,394,312,13,0,0,0,0
FASTJSON-50_1,smt-27,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-248,SAT,209,874,728,34,0,0,0,0
FASTJSON-50_1,smt-271,SAT,71,262,208,13,0,0,0,0
FASTJSON-50_1,smt-270,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-264,SAT,114,324,289,13,0,0,0,0
FASTJSON-50_1,smt-28,SAT,5,12,11,8,0,0,0,0
FASTJSON-50_1,smt-251,SAT,213,874,736,34,0,0,0,0
FASTJSON-50_1,smt-262,SAT,23,99,56,13,0,0,0,0
FASTJSON-50_1,smt-258,UNSAT,262,1139,881,51,4,2,5,4
FASTJSON-50_1,smt-31,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-263,UNSAT,48,118,177,49,3,3,5,4
FASTJSON-50_1,smt-239,UNKNOWN,234,1139,844,51,0,0,0,0
FASTJSON-50_1,smt-253,SAT,206,874,724,34,0,0,0,0
FASTJSON-50_1,smt-256,UNKNOWN,211,1242,819,50,0,0,0,0
FASTJSON-50_1,smt-246,UNKNOWN,297,1523,1023,51,0,0,0,0
FASTJSON-50_1,smt-33,SAT,18,80,59,13,0,0,0,0
FASTJSON-50_1,smt-34,SAT,105,325,272,13,0,0,0,0
FASTJSON-50_1,smt-29,SAT,152,874,627,50,0,0,0,0
FASTJSON-50_1,smt-269,UNSAT,246,1242,872,50,8,3,9,4
FASTJSON-50_1,smt-37,SAT,39,153,118,13,0,0,0,0
FASTJSON-50_1,smt-252,UNKNOWN,239,1242,851,50,0,0,0,0
FASTJSON-50_1,smt-38,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-40,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-41,SAT,42,117,105,13,0,0,0,0
FASTJSON-50_1,smt-30,UNSAT,196,1058,755,50,9,2,8,4
FASTJSON-50_1,smt-32,SAT,53,138,126,13,0,0,0,0
FASTJSON-50_1,smt-44,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-46,SAT,59,165,152,13,0,0,0,0
FASTJSON-50_1,smt-47,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-48,SAT,7,27,21,13,0,0,0,0
FASTJSON-50_1,smt-5,SAT,26,114,65,13,0,0,0,0
FASTJSON-50_1,smt-50,SAT,29,98,88,13,0,0,0,0
FASTJSON-50_1,smt-45,SAT,74,218,192,13,0,0,0,0
FASTJSON-50_1,smt-36,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-52,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-53,SAT,37,148,113,13,0,0,0,0
FASTJSON-50_1,smt-39,SAT,82,241,212,13,0,0,0,0
FASTJSON-50_1,smt-54,SAT,23,64,60,13,0,0,0,0
FASTJSON-50_1,smt-42,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-55,SAT,17,44,41,13,0,0,0,0
FASTJSON-50_1,smt-56,SAT,6,12,12,8,0,0,0,0
FASTJSON-50_1,smt-57,SAT,36,97,92,13,0,0,0,0
FASTJSON-50_1,smt-58,SAT,18,59,49,13,0,0,0,0
FASTJSON-50_1,smt-43,SAT,49,138,121,13,0,0,0,0
FASTJSON-50_1,smt-60,SAT,15,72,53,13,0,0,0,0
FASTJSON-50_1,smt-267,SAT,161,874,633,34,0,0,0,0
FASTJSON-50_1,smt-61,SAT,9,19,21,9,0,0,0,0
FASTJSON-50_1,smt-3,UNKNOWN,250,1219,903,50,0,0,0,0
FASTJSON-50_1,smt-62,SAT,19,84,47,13,0,0,0,0
FASTJSON-50_1,smt-49,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-64,SAT,12,19,26,9,0,0,0,0
FASTJSON-50_1,smt-65,SAT,9,19,21,9,0,0,0,0
FASTJSON-50_1,smt-66,SAT,20,89,50,13,0,0,0,0
FASTJSON-50_1,smt-68,SAT,10,19,23,9,0,0,0,0
FASTJSON-50_1,smt-7,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-59,UNSAT,246,1219,891,50,8,2,7,4
FASTJSON-50_1,smt-63,UNSAT,188,874,722,50,2,2,3,3
FASTJSON-50_1,smt-70,SAT,12,19,25,9,0,0,0,0
FASTJSON-50_1,smt-73,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-74,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-6,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-76,SAT,13,29,30,9,0,0,0,0
FASTJSON-50_1,smt-77,SAT,12,29,27,9,0,0,0,0
FASTJSON-50_1,smt-69,SAT,141,442,363,13,0,0,0,0
FASTJSON-50_1,smt-78,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-72,UNSAT,162,874,635,34,4,2,5,4
FASTJSON-50_1,smt-71,UNSAT,245,1219,889,50,8,2,7,4
FASTJSON-50_1,smt-80,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-81,SAT,9,19,21,9,0,0,0,0
FASTJSON-50_1,smt-99,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-8,SAT,56,148,136,13,0,0,0,0
FASTJSON-50_1,smt-82,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-51,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-67,SAT,13,29,30,9,0,0,0,0
FASTJSON-50_1,smt-79,SAT,134,427,345,13,0,0,0,0
FASTJSON-50_1,smt-84,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-85,SAT,8,14,17,8,0,0,0,0
FASTJSON-50_1,smt-87,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-89,SAT,23,89,64,15,0,0,0,0
FASTJSON-50_1,smt-9,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-90,SAT,23,82,67,13,0,0,0,0
FASTJSON-50_1,smt-75,SAT,2,13,9,8,0,0,0,0
FASTJSON-50_1,smt-92,SAT,8,16,18,8,0,0,0,0
FASTJSON-50_1,smt-93,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-95,SAT,46,165,135,13,0,0,0,0
FASTJSON-50_1,smt-96,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-35,UNKNOWN,202,1173,783,50,0,0,0,0
FASTJSON-50_1,smt-98,SAT,12,19,25,9,0,0,0,0
FASTJSON-50_1,smt-121,SAT,13,26,31,9,0,0,0,0
FASTJSON-50_1,smt-86,SAT,139,435,356,13,0,0,0,0
FASTJSON-50_1,smt-127,SAT,13,26,31,9,0,0,0,0
FASTJSON-50_1,smt-122,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-123,SAT,15,19,29,9,0,0,0,0
FASTJSON-50_1,smt-83,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-124,UNSAT,13,26,31,9,10,2,9,4
FASTJSON-50_1,smt-125,SAT,13,26,31,9,0,0,0,0
FASTJSON-50_1,smt-128,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-126,UNSAT,11,26,28,9,5,10,6,7
FASTJSON-50_1,smt-129,SAT,13,26,31,9,0,0,0,0
FASTJSON-50_1,smt-13,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-91,SAT,10,19,23,9,0,0,0,0
FASTJSON-50_1,smt-131,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-132,SAT,12,19,26,9,0,0,0,0
FASTJSON-50_1,smt-137,SAT,13,26,31,9,0,0,0,0
FASTJSON-50_1,smt-136,SAT,25,82,70,13,0,0,0,0
FASTJSON-50_1,smt-138,SAT,18,19,33,9,0,0,0,0
FASTJSON-50_1,smt-139,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-141,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-140,SAT,18,82,60,13,0,0,0,0
FASTJSON-50_1,smt-142,SAT,13,26,31,9,0,0,0,0
FASTJSON-50_1,smt-143,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-144,SAT,10,19,23,9,0,0,0,0
FASTJSON-50_1,smt-145,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-266,UNKNOWN,247,1242,874,50,0,0,0,0
FASTJSON-50_1,smt-147,UNSAT,64,200,216,14,5,10,6,7
FASTJSON-50_1,smt-148,SAT,103,308,265,13,0,0,0,0
FASTJSON-50_1,smt-130,SAT,9,19,21,9,0,0,0,0
FASTJSON-50_1,smt-146,SAT,151,517,392,14,0,0,0,0
FASTJSON-50_1,smt-268,UNKNOWN,249,1242,877,50,0,0,0,0
FASTJSON-50_1,smt-152,UNSAT,45,145,128,19,6,10,6,8
FASTJSON-50_1,smt-4,UNKNOWN,249,1219,901,50,0,0,0,0
FASTJSON-50_1,smt-153,SAT,9,19,21,9,0,0,0,0
FASTJSON-50_1,smt-157,SAT,126,410,325,13,0,0,0,0
FASTJSON-50_1,smt-156,SAT,22,26,51,9,0,0,0,0
FASTJSON-50_1,smt-158,SAT,13,26,31,9,0,0,0,0
FASTJSON-50_1,smt-159,SAT,26,28,80,9,0,0,0,0
FASTJSON-50_1,smt-14,SAT,151,874,621,34,0,0,0,0
FASTJSON-50_1,smt-16,SAT,51,142,132,13,0,0,0,0
FASTJSON-50_1,smt-160,SAT,13,29,30,9,0,0,0,0
FASTJSON-50_1,smt-162,SAT,95,285,245,13,0,0,0,0
FASTJSON-50_1,smt-164,UNSAT,255,1242,894,50,6,3,6,3
FASTJSON-50_1,smt-163,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-88,UNKNOWN,196,1242,763,50,0,0,0,0
FASTJSON-50_1,smt-149,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-15,SAT,151,874,621,34,0,0,0,0
FASTJSON-50_1,smt-261,UNKNOWN,244,1242,874,50,0,0,0,0
FASTJSON-50_1,smt-167,SAT,24,104,59,13,0,0,0,0
FASTJSON-50_1,smt-17,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-172,SAT,6,22,18,9,0,0,0,0
FASTJSON-50_1,smt-155,SAT,10,19,23,9,0,0,0,0
FASTJSON-50_1,smt-177,UNSAT,217,874,748,34,6,3,6,3
FASTJSON-50_1,smt-180,SAT,9,19,21,9,0,0,0,0
FASTJSON-50_1,smt-94,UNKNOWN,205,1242,775,50,0,0,0,0
FASTJSON-50_1,smt-168,UNSAT,201,1242,770,50,10,2,9,4
FASTJSON-50_1,smt-133,UNKNOWN,199,1242,767,50,0,0,0,0
FASTJSON-50_1,smt-176,SAT,13,28,32,9,0,0,0,0
FASTJSON-50_1,smt-182,SAT,10,19,21,9,0,0,0,0
FASTJSON-50_1,smt-134,UNKNOWN,193,1242,759,50,0,0,0,0
FASTJSON-50_1,smt-183,SAT,19,20,43,9,0,0,0,0
FASTJSON-50_1,smt-154,UNKNOWN,252,1242,883,50,0,0,0,0
FASTJSON-50_1,smt-165,UNSAT,209,1242,783,50,28,10,5,31
FASTJSON-50_1,smt-191,SAT,15,19,29,9,0,0,0,0
FASTJSON-50_1,smt-170,UNSAT,244,1242,868,50,4,2,5,4
FASTJSON-50_1,smt-171,UNSAT,250,1242,880,50,8,4,11,4
FASTJSON-50_1,smt-174,UNSAT,162,874,635,34,4,2,5,4
FASTJSON-50_1,smt-189,SAT,55,200,157,13,0,0,0,0
FASTJSON-50_1,smt-188,SAT,13,28,32,9,0,0,0,0
FASTJSON-50_1,smt-19,SAT,67,281,214,25,0,0,0,0
FASTJSON-50_1,smt-173,UNSAT,162,874,635,34,4,2,5,4
FASTJSON-50_1,smt-192,SAT,57,155,145,13,0,0,0,0
FASTJSON-50_1,smt-195,SAT,23,26,53,9,0,0,0,0
FASTJSON-50_1,smt-193,SAT,20,60,51,13,0,0,0,0
FASTJSON-50_1,smt-181,SAT,9,19,21,9,0,0,0,0
FASTJSON-50_1,smt-18,SAT,151,874,621,34,0,0,0,0
FASTJSON-50_1,smt-198,UNSAT,31,114,95,13,5,10,6,7
FASTJSON-50_1,smt-190,UNSAT,257,1242,895,50,8,3,9,4
FASTJSON-50_1,smt-2,SAT,5,13,13,8,0,0,0,0
FASTJSON-50_1,smt-197,UNSAT,212,874,736,34,8,3,9,4
FASTJSON-50_1,smt-200,UNSAT,176,874,663,34,4,2,5,4
FASTJSON-50_1,smt-201,UNSAT,209,874,730,34,8,4,11,4
FASTJSON-50_1,smt-203,SAT,19,20,43,9,0,0,0,0
FASTJSON-50_1,smt-187,UNSAT,254,1242,887,50,8,3,9,4
FASTJSON-50_1,smt-20,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-185,SAT,29,76,73,13,0,0,0,0
FASTJSON-50_1,smt-205,UNSAT,71,264,210,13,2,2,3,3
FASTJSON-50_1,smt-161,UNKNOWN,214,1242,823,50,0,0,0,0
FASTJSON-50_1,smt-206,UNSAT,35,107,96,13,10,2,9,3
FASTJSON-50_1,smt-21,SAT,35,82,81,13,0,0,0,0
FASTJSON-50_1,smt-207,UNSAT,204,1242,774,50,10,2,9,3
FASTJSON-50_1,smt-213,SAT,13,28,32,9,0,0,0,0
FASTJSON-50_1,smt-211,UNSAT,11,26,28,9,2,2,3,3
FASTJSON-50_1,smt-194,UNSAT,301,1523,1028,51,4,2,5,4
FASTJSON-50_1,smt-214,SAT,51,131,128,35,0,0,0,0
FASTJSON-50_1,smt-12,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-119,SAT,9,21,22,9,0,0,0,0
FASTJSON-50_1,smt-118,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-196,UNSAT,231,4862,713,35,9,10,6,11
FASTJSON-50_1,smt-150,SAT,39,35,82,9,0,0,0,0
FASTJSON-50_1,smt-116,SAT,21,19,37,9,0,0,0,0
FASTJSON-50_1,smt-117,SAT,15,19,29,9,0,0,0,0
FASTJSON-50_1,smt-215,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-135,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-120,SAT,13,26,31,9,0,0,0,0
FASTJSON-50_1,smt-97,SAT,12,19,26,9,0,0,0,0
FASTJSON-50_1,smt-204,UNSAT,214,874,738,34,8,3,9,4
FASTJSON-50_1,smt-217,UNSAT,50,123,186,49,3,3,5,4
FASTJSON-50_1,smt-212,UNSAT,205,874,722,34,8,3,9,4
FASTJSON-50_1,smt-151,UNKNOWN,187,1242,749,50,0,0,0,0
FASTJSON-50_1,smt-178,UNKNOWN,253,1242,887,50,0,0,0,0
FASTJSON-50_1,smt-186,SAT,143,494,372,14,0,0,0,0
FASTJSON-50_1,smt-199,SAT,46,112,167,49,0,0,0,0
FASTJSON-50_1,smt-223,UNSAT,71,340,287,56,3,3,5,4
FASTJSON-50_1,smt-166,SAT,55,139,204,49,0,0,0,0
FASTJSON-50_1,smt-22,SAT,5,19,15,9,0,0,0,0
FASTJSON-50_1,smt-169,UNKNOWN,251,1242,882,50,0,0,0,0
FASTJSON-50_1,smt-220,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-208,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-224,SAT,8,19,20,9,0,0,0,0
FASTJSON-50_1,smt-228,SAT,13,28,32,9,0,0,0,0
FASTJSON-50_1,smt-23,SAT,5,12,11,8,0,0,0,0
FASTJSON-50_1,smt-219,UNSAT,214,1242,823,50,3,2,4,4
FASTJSON-50_1,smt-175,UNKNOWN,250,1242,881,50,0,0,0,0
FASTJSON-50_1,smt-225,SAT,80,232,205,13,0,0,0,0
FASTJSON-50_1,smt-184,UNKNOWN,202,1242,771,50,0,0,0,0
FASTJSON-50_1,smt-222,SAT,152,874,619,34,0,0,0,0
FASTJSON-50_1,smt-221,UNSAT,253,1242,886,50,8,3,9,4
FASTJSON-50_1,smt-229,UNSAT,257,1242,896,50,8,3,9,4
FASTJSON-50_1,smt-226,UNSAT,225,874,758,34,4,2,5,4
FASTJSON-50_1,smt-216,UNSAT,247,1242,873,50,8,3,9,4
FASTJSON-50_1,smt-227,UNSAT,217,1242,827,50,3,2,4,4
FASTJSON-50_1,smt-210,SAT,258,1139,876,51,0,0,0,0
FASTJSON-50_1,smt-202,UNKNOWN,217,1242,808,50,0,0,0,0
FASTJSON-50_1,smt-179,UNKNOWN,217,1242,808,50,0,0,0,0
FASTJSON-50_1,smt-209,UNKNOWN,247,1242,874,50,0,0,0,0
FASTJSON-50_1,smt-218,UNKNOWN,205,1242,776,50,0,0,0,0
FASTJSON-59_1,smt-100,SAT,3,9,8,8,0,0,0,0
FASTJSON-59_1,smt-102,SAT,10,22,22,9,0,0,0,0
FASTJSON-59_1,smt-101,SAT,11,22,24,9,0,0,0,0
FASTJSON-59_1,smt-106,UNSAT,8,17,22,8,2,2,3,3
FASTJSON-59_1,smt-107,SAT,12,17,27,8,0,0,0,0
FASTJSON-59_1,smt-11,SAT,4,12,10,8,0,0,0,0
FASTJSON-59_1,smt-108,SAT,24,17,44,8,0,0,0,0
FASTJSON-59_1,smt-105,SAT,35,19,64,8,0,0,0,0
FASTJSON-59_1,smt-103,SAT,50,27,92,8,0,0,0,0
FASTJSON-59_1,smt-104,SAT,55,27,100,8,0,0,0,0
FASTJSON-59_1,smt-109,SAT,44,25,82,8,0,0,0,0
FASTJSON-59_1,smt-16,SAT,58,12,98,8,0,0,0,0
FASTJSON-59_1,smt-15,SAT,83,12,138,8,0,0,0,0
FASTJSON-59_1,smt-12,SAT,64,32,117,8,0,0,0,0
FASTJSON-59_1,smt-13,SAT,6,12,12,8,0,0,0,0
FASTJSON-59_1,smt-21,SAT,4,12,10,8,0,0,0,0
FASTJSON-59_1,smt-17,SAT,81,12,134,8,0,0,0,0
FASTJSON-59_1,smt-14,SAT,105,12,172,8,0,0,0,0
FASTJSON-59_1,smt-22,SAT,4,12,10,8,0,0,0,0
FASTJSON-59_1,smt-1,SAT,45,12,77,8,0,0,0,0
FASTJSON-59_1,smt-19,SAT,15,17,32,8,0,0,0,0
FASTJSON-59_1,smt-2,SAT,46,12,79,8,0,0,0,0
FASTJSON-59_1,smt-23,SAT,11,17,28,8,0,0,0,0
FASTJSON-59_1,smt-10,SAT,72,12,121,8,0,0,0,0
FASTJSON-59_1,smt-25,SAT,22,12,41,8,0,0,0,0
FASTJSON-59_1,smt-27,SAT,11,17,28,8,0,0,0,0
FASTJSON-59_1,smt-20,SAT,70,12,117,8,0,0,0,0
FASTJSON-59_1,smt-28,SAT,10,12,22,8,0,0,0,0
FASTJSON-59_1,smt-3,SAT,9,12,20,8,0,0,0,0
FASTJSON-59_1,smt-32,SAT,4,12,10,8,0,0,0,0
FASTJSON-59_1,smt-35,SAT,4,12,10,8,0,0,0,0
FASTJSON-59_1,smt-33,SAT,35,12,62,8,0,0,0,0
FASTJSON-59_1,smt-26,SAT,106,12,174,8,0,0,0,0
FASTJSON-59_1,smt-29,SAT,82,12,136,8,0,0,0,0
FASTJSON-59_1,smt-30,SAT,68,33,122,8,0,0,0,0
FASTJSON-59_1,smt-18,SAT,42,22,78,8,0,0,0,0
FASTJSON-59_1,smt-38,SAT,40,24,77,8,0,0,0,0
FASTJSON-59_1,smt-37,SAT,52,26,96,8,0,0,0,0
FASTJSON-59_1,smt-31,SAT,108,12,178,8,0,0,0,0
FASTJSON-59_1,smt-42,SAT,11,12,24,8,0,0,0,0
FASTJSON-59_1,smt-4,SAT,36,12,64,8,0,0,0,0
FASTJSON-59_1,smt-40,SAT,24,12,45,8,0,0,0,0
FASTJSON-59_1,smt-44,SAT,4,12,10,8,0,0,0,0
FASTJSON-59_1,smt-43,SAT,33,12,58,8,0,0,0,0
FASTJSON-59_1,smt-39,SAT,71,12,119,8,0,0,0,0
FASTJSON-59_1,smt-47,SAT,11,17,28,8,0,0,0,0
FASTJSON-59_1,smt-45,SAT,37,20,69,8,0,0,0,0
FASTJSON-59_1,smt-50,SAT,4,12,10,8,0,0,0,0
FASTJSON-59_1,smt-46,SAT,52,28,97,8,0,0,0,0
FASTJSON-59_1,smt-49,SAT,62,30,114,8,0,0,0,0
FASTJSON-59_1,smt-34,SAT,28,20,57,8,0,0,0,0
FASTJSON-59_1,smt-5,SAT,65,31,118,8,0,0,0,0
FASTJSON-59_1,smt-48,SAT,84,12,140,8,0,0,0,0
FASTJSON-59_1,smt-36,SAT,17,17,36,8,0,0,0,0
FASTJSON-59_1,smt-52,SAT,22,18,47,8,0,0,0,0
FASTJSON-59_1,smt-51,SAT,57,28,105,8,0,0,0,0
FASTJSON-59_1,smt-54,SAT,23,12,43,8,0,0,0,0
FASTJSON-59_1,smt-7,SAT,4,12,10,8,0,0,0,0
FASTJSON-59_1,smt-55,SAT,11,17,28,8,0,0,0,0
FASTJSON-59_1,smt-6,SAT,11,17,28,8,0,0,0,0
FASTJSON-59_1,smt-59,SAT,11,17,28,8,0,0,0,0
FASTJSON-59_1,smt-60,SAT,4,12,10,8,0,0,0,0
FASTJSON-59_1,smt-61,SAT,21,12,39,8,0,0,0,0
FASTJSON-59_1,smt-62,SAT,14,25,30,9,0,0,0,0
FASTJSON-59_1,smt-64,SAT,4,12,10,8,0,0,0,0
FASTJSON-59_1,smt-58,SAT,69,12,115,8,0,0,0,0
FASTJSON-59_1,smt-66,SAT,11,17,28,8,0,0,0,0
FASTJSON-59_1,smt-56,SAT,95,12,157,8,0,0,0,0
FASTJSON-59_1,smt-63,SAT,48,12,83,8,0,0,0,0
FASTJSON-59_1,smt-65,SAT,34,12,60,8,0,0,0,0
FASTJSON-59_1,smt-70,SAT,16,17,37,8,0,0,0,0
FASTJSON-59_1,smt-53,SAT,27,17,51,8,0,0,0,0
FASTJSON-59_1,smt-72,SAT,12,12,26,8,0,0,0,0
FASTJSON-59_1,smt-73,SAT,15,25,32,9,0,0,0,0
